Año;SemanaAño;IdCaptura;Rectangulo;RE;HKE;JAX;LEZ;MAC;OTROS;SQI;WHB
2018;2;40685;1,60E+03;'16E2';17,89;0;15,67;0;66,45;0;0
2018;2;40686;1,60E+02;'16E1';0;0;0;0;48,24;28,24;23,53
2018;2;40687;1,60E+02;'16E1';0;0;0;0;0;0;100
2018;2;40708;1,60E+02;'16E1';0;0;0;0;0;0;100
2018;1;40715;1,60E+03;'16E2';28,73;0;0;0;71,27;0;0
2018;2;40747;1,60E+02;'16E1';0,94;0;0;0;0;0;99,06
2018;2;40749;1,60E+05;'16E4';4,6;2,52;0;0;0,9;0;91,97
2018;2;40754;1,60E+05;'16E4';1,42;3,55;0;0;3,55;0;91,48
2018;2;40766;1,60E+05;'16E4';11,25;0;0;0;0;0;88,75
2018;2;40778;1,60E+02;'16E1';24,31;0;50,93;0;24,77;0;0
2018;2;40781;1,60E+06;'16E5';0;0;0;0;57,82;42,18;0
2018;2;40785;1,60E+02;'16E1';45,45;0;0;0;54,55;0;0
2018;2;40792;1,50E+01;'15E0';12,48;0;9,98;0;64,88;0;12,67
2018;2;40821;1,70E+08;'17E7';5,31;0;3,22;0;11,88;41,09;38,5
2018;2;40842;1,50E+01;'15E0';28,48;0;31,52;0;40;0;0
2018;2;40845;1,60E+02;'16E1';0;55,56;0;0;44,44;0;0
2018;2;40858;1,60E+08;'16E7';20,23;0;0;0;49,43;4,55;25,79
2018;2;40859;1,60E+06;'16E5';4,49;95,51;0;0;0;0;0
2018;2;40863;1,60E+08;'16E7';30,17;0;0;0;9,05;5,17;55,6
2018;2;40872;1,60E+02;'16E1';0;0;0;0;0;100;0
2018;2;40884;1,60E+02;'16E1';50;0;25;0;25;0;0
2018;2;40891;1,50E+08;'15E7';24,13;0;0;0;0;2,84;73,03
2018;2;40892;1,50E+08;'15E7';0;0;0;0;100;0;0
2018;2;40915;1,60E+05;'16E4';3,28;14,5;4,79;0;77,43;0;0
2018;2;40929;1,60E+02;'16E1';100;0;0;0;0;0;0
2018;2;40932;1,50E+01;'15E0';0;0;0;0;71,79;15,38;12,82
2018;2;40933;1,60E+02;'16E1';2,35;0;11,73;0;26,1;10,56;49,27
2018;2;40935;1,60E+08;'16E7';55,98;0;3,35;0;19,14;21,53;0
2018;2;40936;1,50E+01;'15E0';68,75;0;9,38;0;21,88;0;0
2018;2;40950;1,50E+01;'15E0';0,55;0;0,66;0;98,79;0;0
2018;2;40971;1,60E+02;'16E1';0;0;0;0;100;0;0
2018;2;41377;1,60E+06;'16E5';1,33;86,92;0;0;11,75;0;0
2018;2;41432;1,60E+04;'16E3';12,78;2,44;0;0;1,75;0;83,02
2018;2;41649;1,60E+05;'16E4';1,31;91,5;0;0;7,19;0;0
2018;2;41699;1,60E+05;'16E4';7,72;6,27;11,94;0;74,07;0;0
2018;2;41741;1,50E+08;'15E7';0;0;23,9;0;76,1;0;0
2018;2;41742;1,50E+08;'15E7';0;0;0;0;100;0;0
2018;2;41743;1,50E+08;'15E7';100;0;0;0;0;0;0
2018;2;41840;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;2;41841;1,60E+05;'16E4';22,08;0;0;0;0;0;77,92
2018;2;41842;1,60E+05;'16E4';0;0;0;0;100;0;0
2018;2;41876;1,60E+06;'16E5';0;82,93;0;0;17,07;0;0
2018;2;41908;1,60E+01;'16E0';13,04;0;0;0;0;0;86,96
2018;2;41922;1,60E+05;'16E4';1,75;2,34;0;0;0;0;95,91
2018;2;41924;1,60E+05;'16E4';0;62,99;4,72;0;32,28;0;0
2018;2;41931;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;2;41943;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;2;41957;1,60E+03;'16E2';0;0;0;0;100;0;0
2018;2;41958;1,60E+03;'16E2';1,6;80,05;1,33;0;17,01;0;0
2018;2;41969;1,60E+04;'16E3';5,48;0;3,56;0;90,95;0;0
2018;2;41970;1,60E+03;'16E2';0;16,67;8,33;0;58,33;16,67;0
2018;2;41974;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;2;41978;1,60E+01;'16E0';1,78;0;0;0;0;0;98,22
2018;2;41986;1,60E+06;'16E5';2,9;1,7;0;0;0;0;95,4
2018;2;41996;1,50E+01;'15E0';0;0;0;0;21,49;37,19;41,32
2018;2;42014;1,60E+05;'16E4';0;0;0;0;0;0;100
2018;2;42019;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;2;42023;1,60E+03;'16E2';0;0;13,44;0;86,56;0;0
2018;2;42035;1,60E+08;'16E7';0;0;4,03;20,13;74,5;1,34;0
2018;2;42051;1,60E+02;'16E1';100;0;0;0;0;0;0
2018;2;42062;1,60E+08;'16E7';0;0;0;94,26;3,44;2,29;0
2018;2;42063;1,60E+05;'16E4';0;0;0;0;100;0;0
2018;2;42068;1,60E+03;'16E2';0;0;0;0;90,18;6,32;3,51
2018;2;42074;1,60E+06;'16E5';0;0;30,03;0;43,86;26,11;0
2018;2;42077;1,60E+02;'16E1';61,54;0;38,46;0;0;0;0
2018;2;42088;1,60E+08;'16E7';6,73;0;13,88;20,41;33,06;24,49;1,43
2018;2;42112;1,50E+01;'15E0';31,94;0;34,72;0;33,33;0;0
